order_id,product_id,quantity,total,discount_percentage,total_after_discount,trx_date
1,62,73,0.0,0.0,0.0,7/16/2021 23:53:57
2,224,8,0.0,0.0,0.0,11/1/2018 03:49:23
3,330,110,0.0,0.0,0.0,5/6/2018 16:22:19
4,172,19,0.0,0.0,0.0,1/15/2019 15:01:59
5,108,72,0.0,0.0,0.0,3/30/2019 08:45:03
6,133,40,0.0,0.0,0.0,4/8/2021 10:20:19
7,197,37,0.0,0.0,0.0,1/14/2019 23:53:52
8,298,51,0.0,0.0,0.0,7/9/2019 10:50:59
9,47,50,0.0,0.0,0.0,12/15/2023 19:16:16
10,84,114,0.0,0.0,0.0,6/21/2023 06:50:00
11,114,85,0.0,0.0,0.0,6/9/2022 14:33:38
12,225,85,0.0,0.0,0.0,9/2/2023 18:11:01
13,285,119,0.0,0.0,0.0,2/13/2020 19:57:14
14,164,56,0.0,0.0,0.0,9/11/2020 19:04:38
15,141,84,0.0,0.0,0.0,11/22/2021 23:24:38
16,101,18,0.0,0.0,0.0,9/19/2019 07:51:15
17,14,32,0.0,0.0,0.0,11/26/2022 21:50:39
18,213,46,0.0,0.0,0.0,2/14/2020 18:30:32
19,137,81,0.0,0.0,0.0,2/4/2023 05:03:26
20,179,126,0.0,0.0,0.0,4/9/2023 21:43:14
21,288,56,0.0,0.0,0.0,1/16/2019 20:47:16
22,275,61,0.0,0.0,0.0,6/5/2021 23:17:59
23,4,98,0.0,0.0,0.0,12/16/2021 19:57:41
24,64,63,0.0,0.0,0.0,11/5/2020 21:45:25
25,134,11,0.0,0.0,0.0,6/27/2020 23:25:00
26,108,29,0.0,0.0,0.0,5/19/2021 22:18:35
27,18,61,0.0,0.0,0.0,9/19/2022 00:20:28
28,3,148,0.0,0.0,0.0,3/2/2023 07:17:29
29,192,107,0.0,0.0,0.0,10/8/2023 18:29:33
30,181,35,0.0,0.0,0.0,3/16/2020 14:02:25
31,212,148,0.0,0.0,0.0,11/14/2019 14:31:03
32,126,138,0.0,0.0,0.0,9/10/2020 11:15:42
33,118,18,0.0,0.0,0.0,6/14/2019 03:53:54
34,222,132,0.0,0.0,0.0,9/28/2020 01:57:45
35,262,64,0.0,0.0,0.0,10/28/2020 19:55:04
36,222,135,0.0,0.0,0.0,10/28/2021 04:03:44
37,20,60,0.0,0.0,0.0,7/27/2023 15:45:10
38,111,44,0.0,0.0,0.0,4/14/2018 10:41:13
39,190,61,0.0,0.0,0.0,1/23/2022 16:41:37
40,160,55,0.0,0.0,0.0,6/4/2018 05:23:09
41,56,85,0.0,0.0,0.0,9/13/2023 20:45:19
42,342,66,0.0,0.0,0.0,12/21/2019 05:10:02
43,39,109,0.0,0.0,0.0,4/11/2018 21:56:50
44,124,118,0.0,0.0,0.0,4/6/2022 00:02:28
45,326,22,0.0,0.0,0.0,11/15/2020 03:52:09
46,270,80,0.0,0.0,0.0,5/30/2020 01:52:34
47,102,20,0.0,0.0,0.0,2/8/2023 14:44:36
48,154,144,0.0,0.0,0.0,7/21/2022 02:42:58
49,17,48,0.0,0.0,0.0,1/5/2023 14:40:59
50,118,57,0.0,0.0,0.0,4/13/2021 09:00:01
51,74,92,0.0,0.0,0.0,7/14/2023 07:15:14
52,170,14,0.0,0.0,0.0,9/4/2019 05:22:00
53,69,18,0.0,0.0,0.0,1/2/2020 01:03:13
