product_name,manufacturer,current_price,quantity,category,subcategory,discount_percentage
Product 118,Realbridge,872421.01,5539,Toys,Appliances,5.7
Product 556,Skyba,864578.95,9566,Sports,Appliances,9.05
Product 94,Devshare,140069.16,9897,Sports,Board Games,29.87
Product 617,Quatz,583571.96,6052,Clothing,TVs,58.81
Product 594,Photojam,514589.67,1644,Beauty,Pants,55.76
Product 193,Rooxo,751449,9359,Clothing,Laptops,12.72
Product 139,Camido,638425.38,7614,Food,Fiction,27.36
Product 917,Jabbersphere,535755.5,5007,Electronics,Snacks,17.63
Product 674,Meevee,723386.18,5385,Books,Furniture,70.96
Product 23,Meezzy,438721.61,1686,Sports,Furniture,30.89
Product 881,Chatterpoint,220928.35,8724,Clothing,Makeup,50.96
Product 254,Livefish,338317.02,4632,Clothing,Snacks,97.51
Product 627,Twitterlist,267995.91,2589,Toys,Laptops,30.33
Product 594,Realblab,692828.33,4647,Beauty,Makeup,8.04
Product 711,Fiveclub,426193.22,8584,Sports,Fitness,11.1
Product 480,Aibox,211913.63,2549,Clothing,Fiction,7.04
Product 586,Skyvu,168394.5,870,Electronics,TVs,13.66
Product 16,Oba,796733.98,9630,Books,Shirts,97.18
Product 183,Photolist,654276.81,4516,Clothing,Furniture,30.08
Product 322,Skipfire,998610.82,5832,Beauty,Makeup,15.46
Product 318,Twimbo,939705.93,4128,Food,Snacks,78.83
Product 399,Gabvine,119516.47,3155,Food,Laptops,11.08
Product 127,Skalith,674670.42,5549,Toys,Non-Fiction,80.54
Product 273,Gevee,710589.54,7591,Home,Snacks,83.13
Product 831,Katz,975051.5,8908,Books,Furniture,29.05
Product 546,Meevee,154623.18,4947,Electronics,Shirts,45.57
Product 405,Lazzy,240497.9,7024,Books,Laptops,96.35
Product 875,Yabox,382083.11,847,Books,Beverages,36.66
Product 239,Kwimbee,78900.32,1864,Books,Snacks,36.31
Product 437,Yamia,724332.55,6736,Clothing,Skincare,41.41
Product 722,Agivu,342233.32,4227,Electronics,Fiction,37.29
Product 206,Cogilith,256702.92,2533,Books,Laptops,15.87
Product 478,Skipstorm,252930.9,225,Sports,Laptops,41.59
Product 219,Skilith,538877.07,3036,Toys,Non-Fiction,42.74
Product 203,Oloo,570008.54,8290,Beauty,Laptops,31.84
Product 168,Wordware,276368.79,2027,Sports,Furniture,25.85
Product 995,Linklinks,134144.24,8785,Beauty,Snacks,54.17
Product 848,Wikizz,370135.96,8508,Beauty,Snacks,1.83
Product 950,Skipfire,117159.42,7063,Sports,Fiction,84.91
Product 36,Twiyo,300375.22,1425,Food,Appliances,90.85
Product 15,Yambee,692807.24,813,Toys,Appliances,83.95
Product 162,Aimbu,282425.49,8277,Food,Snacks,8.89
Product 984,Mydeo,475603.43,9305,Home,Fiction,48.11
Product 926,Muxo,8683.29,4412,Home,Laptops,6.29
Product 531,Eare,889394.6,9896,Beauty,Laptops,38.44
Product 480,BlogXS,980730.39,7333,Home,Non-Fiction,64.46
Product 319,Snaptags,115588.76,6012,Books,Non-Fiction,73.81
Product 10,Thoughtworks,167469.12,6793,Clothing,Fitness,1.26
Product 335,Mycat,124557.06,4595,Books,Appliances,57.78
Product 1000,Edgeblab,677528.99,1825,Sports,Snacks,52
Product 908,Dabtype,570015.73,7022,Food,Board Games,11.58
Product 27,Omba,443436.43,3522,Sports,Makeup,8.13
Product 737,Chatterpoint,763758.26,5771,Electronics,Pants,13.52
Product 84,Tagopia,978433.15,9213,Home,Non-Fiction,64.9
Product 55,Kwideo,562415.03,6532,Food,Snacks,92.7
Product 55,Edgetag,532825.87,316,Sports,Shirts,25.99
Product 86,Feedmix,954643.4,556,Electronics,Fitness,42.14
Product 806,Brainsphere,727335.59,5900,Clothing,Furniture,84.72
Product 87,Realblab,9727.65,9883,Clothing,Fitness,25.8
Product 746,Eamia,584596.24,7359,Home,Shirts,64.33
Product 20,Dabjam,921122.46,1606,Clothing,TVs,4.16
Product 201,Edgetag,337829.93,618,Home,Skincare,75.18
Product 793,Edgewire,425946.93,1896,Beauty,Beverages,1.3
Product 94,Mynte,139988.88,2719,Food,Beverages,49.39
Product 527,Linktype,543710.04,8635,Toys,Snacks,47.14
Product 115,Quimm,594741.43,780,Toys,Board Games,81.68
Product 881,Edgewire,948585.28,9383,Books,Board Games,30.82
Product 369,Zoombox,176025.32,3053,Books,Makeup,77.32
Product 576,Lajo,898685.64,7240,Home,Board Games,78.46
Product 949,Yakidoo,289468.73,3194,Home,TVs,1.96
Product 561,Edgewire,782632.39,1128,Clothing,Fiction,14.09
Product 556,Brainbox,480957.12,9414,Food,Non-Fiction,88.79
Product 669,Eamia,477250.01,1656,Beauty,Snacks,84.21
Product 950,Brainsphere,211071.74,6304,Sports,Laptops,35.41
Product 952,Kwideo,74699.59,2997,Toys,Board Games,30.33
Product 705,Quamba,656614.14,3868,Home,Board Games,0.09
Product 552,Jayo,540834.41,4596,Sports,Pants,71.37
Product 56,Buzzdog,162668.08,2847,Food,Fitness,49.15
Product 757,Kare,816514.58,747,Electronics,Fitness,80.05
Product 876,Zoonder,165029.78,8973,Home,Pants,57.44
Product 596,Skalith,627301.73,2590,Sports,Fiction,62.56
Product 521,Buzzdog,605673.62,7614,Toys,Non-Fiction,76.86
Product 702,Meembee,869007.73,2385,Clothing,Laptops,18.89
Product 38,Skinix,428427.28,2051,Toys,Appliances,94.74
Product 90,Talane,222354.79,2915,Electronics,Skincare,42.42
Product 948,Oloo,950747.55,4170,Clothing,Laptops,84.63
Product 31,Brainsphere,882847.69,9479,Electronics,Skincare,22.75
Product 778,Topicblab,207129.1,4021,Food,Board Games,38.27
Product 535,Leenti,618979.88,788,Books,Shirts,51.02
Product 641,Ozu,834434.35,9858,Clothing,Fiction,59.5
Product 770,Rhycero,374672.02,8073,Books,Shirts,26.48
Product 535,Skipstorm,824251.37,4446,Books,Beverages,43.01
Product 674,Tagopia,299800.27,5194,Electronics,Snacks,58.38
Product 800,Gabtype,241888.88,1429,Food,Fitness,15.28
Product 681,Eire,830385.46,5933,Sports,Fiction,39.96
Product 600,Zoomcast,587886.77,3282,Food,Furniture,96.17
Product 47,Kimia,57245.88,1085,Sports,Fitness,60.62
Product 509,Oba,326879.84,4075,Beauty,Pants,97.39
Product 402,Devbug,932987.06,6659,Sports,Fiction,95.12
Product 803,Edgewire,953011.91,8471,Sports,TVs,96.53
Product 841,Flashpoint,496433.06,6205,Books,Appliances,20.46
Product 508,Npath,106587.89,9669,Clothing,Board Games,80.74
Product 2,Rhyloo,174959.88,4626,Electronics,Snacks,66.33
Product 851,Browsetype,628857.67,982,Electronics,TVs,36.67
Product 944,Vimbo,3141.06,3853,Clothing,Skincare,1.55
Product 805,Edgeify,523488.94,8537,Beauty,Makeup,14.22
Product 640,Buzzbean,782756.3,8161,Sports,Shirts,44.12
Product 123,Gabspot,930103.59,5034,Clothing,Appliances,28.1
Product 696,Katz,238068.37,719,Food,Furniture,30.07
Product 548,Dynabox,890517.9,1146,Food,Laptops,20.82
Product 115,Realpoint,39889.24,9695,Electronics,Fiction,61.87
Product 249,Twiyo,957.73,906,Electronics,Skincare,73.32
Product 40,Browsecat,986312.67,9389,Electronics,TVs,52.47
Product 333,Fivespan,48354.65,7200,Electronics,Board Games,87.74
Product 86,Twinte,709420.75,8901,Beauty,Fitness,81.94
