product_id,price,valid_from,valid_to,created_at
354,18.54,2/22/2019,1/9/2023,12/16/2018
729,158.63,2/16/2020,10/20/2023,2/9/2023
796,31.77,2/24/2023,12/27/2020,12/15/2019
135,62.62,12/28/2023,4/3/2023,9/30/2019
432,81.36,6/9/2022,8/4/2020,5/14/2018
356,74.98,4/18/2018,11/9/2018,6/25/2020
897,105.59,7/8/2023,4/29/2019,5/30/2022
987,170.27,11/29/2019,5/18/2018,1/23/2019
118,92.27,6/24/2020,1/6/2023,2/21/2020
223,84.09,12/27/2020,8/2/2019,3/31/2023
196,170.06,10/23/2020,1/14/2023,11/14/2023
979,92.46,9/20/2018,6/22/2023,2/27/2020
553,30.28,8/28/2021,9/17/2022,12/23/2018
684,91.69,1/30/2023,4/21/2018,11/9/2019
423,167.75,3/7/2023,3/26/2021,3/6/2021
975,147.76,11/16/2018,9/9/2020,10/12/2020
643,42.56,7/28/2020,4/30/2021,8/8/2020
141,78.9,2/11/2023,11/11/2018,12/29/2023
207,149.72,8/19/2021,6/25/2018,5/11/2021
9,157.03,10/28/2023,12/22/2019,1/30/2023
380,131.21,10/17/2019,4/25/2022,8/23/2021
505,7.48,8/7/2021,5/21/2021,10/12/2023
894,34.33,9/11/2020,9/15/2021,4/11/2019
690,120.67,5/5/2018,10/6/2020,11/18/2018
34,40.23,7/11/2018,4/4/2018,8/5/2018
172,169.24,8/13/2018,4/6/2022,1/29/2018
855,125.1,8/19/2023,9/23/2022,5/21/2018
869,121.98,2/17/2021,6/2/2018,3/22/2019
250,49.43,9/4/2023,3/23/2018,9/16/2018
474,111.9,4/16/2023,1/27/2023,12/30/2022
843,169.0,9/25/2023,10/4/2020,4/17/2023
580,39.66,6/17/2020,9/14/2020,8/21/2021
352,157.62,3/9/2022,10/4/2023,3/19/2021
1,81.32,3/27/2021,4/24/2023,5/23/2020
621,55.14,8/11/2021,12/20/2019,7/21/2019
571,53.07,8/22/2020,12/20/2018,1/30/2019
38,102.2,9/19/2021,8/5/2021,5/30/2018
361,54.75,9/30/2020,2/5/2019,5/9/2021
563,17.61,5/14/2020,11/1/2020,2/14/2020
123,17.69,10/21/2023,6/30/2019,7/11/2019
53,12.82,2/4/2023,4/20/2020,2/28/2023
977,64.97,12/29/2023,5/12/2019,12/30/2022
719,14.11,5/1/2019,1/7/2020,1/15/2019
525,95.49,11/22/2018,3/19/2019,7/25/2023
348,173.99,4/27/2019,9/9/2021,8/24/2022
321,147.4,12/8/2019,8/8/2019,7/28/2019
888,84.45,5/5/2019,8/23/2022,9/17/2022
344,124.06,1/5/2020,4/4/2019,3/25/2023
680,92.06,7/12/2023,10/21/2019,6/26/2022
702,54.05,1/8/2019,6/6/2020,8/9/2019
13,151.66,1/14/2020,2/23/2018,12/23/2020
409,174.19,8/13/2018,5/10/2019,8/18/2020
275,106.74,4/27/2020,4/11/2020,10/26/2020
641,55.86,9/18/2020,6/2/2019,1/8/2020
242,81.78,8/22/2019,6/15/2023,1/16/2018
958,90.73,2/18/2018,7/18/2021,12/17/2022
473,150.95,3/20/2018,12/1/2022,4/19/2018
234,45.08,8/4/2018,6/11/2019,3/24/2023
473,42.57,10/30/2019,1/4/2021,1/9/2021
32,51.82,9/8/2021,10/14/2022,12/23/2021
751,12.02,7/15/2019,4/2/2019,11/14/2018
834,83.45,3/31/2020,6/19/2021,3/3/2018
943,91.0,2/15/2022,10/18/2022,12/3/2018
945,34.5,6/23/2023,4/2/2021,7/25/2020
62,67.58,8/31/2022,3/23/2018,12/22/2018
788,46.8,9/3/2020,4/8/2018,5/15/2018
143,15.73,5/27/2021,6/18/2018,8/2/2019
271,138.18,5/5/2021,11/13/2019,7/18/2022
765,51.08,7/13/2018,3/23/2020,12/30/2019
958,97.02,9/5/2023,10/4/2020,2/3/2020
790,31.87,5/12/2019,11/23/2022,10/28/2021
189,67.04,3/1/2020,3/25/2018,12/13/2023
260,77.54,2/4/2021,7/9/2022,10/4/2022
211,80.06,2/8/2023,5/6/2019,1/6/2019
501,87.72,4/23/2021,7/9/2022,7/7/2022
221,79.57,10/22/2023,2/22/2023,11/8/2020
138,126.81,11/17/2018,8/27/2022,12/14/2020
550,150.93,8/20/2022,1/14/2020,5/11/2020
305,79.43,10/11/2019,2/28/2019,1/22/2018
811,6.42,7/15/2020,9/14/2023,9/18/2022
614,97.18,4/22/2020,5/12/2022,12/15/2022
956,15.44,12/24/2023,9/23/2018,6/25/2020
108,70.42,7/18/2018,8/27/2018,8/17/2019
843,24.63,11/8/2022,10/11/2021,8/10/2021
657,151.52,10/21/2022,11/7/2022,3/7/2022
847,49.65,9/18/2019,3/25/2018,10/12/2022
544,20.81,10/15/2023,10/16/2018,7/23/2019
727,14.49,4/18/2023,11/26/2021,11/5/2022
775,65.84,6/15/2021,12/6/2020,11/2/2021
177,169.53,1/30/2022,2/23/2022,7/27/2020
338,124.46,11/17/2021,9/16/2022,6/17/2020
777,169.68,4/15/2018,3/12/2021,8/30/2019
364,160.27,2/3/2021,8/23/2019,3/1/2018
963,43.54,6/19/2020,10/5/2021,10/30/2020
743,15.51,4/14/2021,7/5/2022,5/17/2019
893,14.06,2/14/2022,8/8/2018,8/21/2023
522,154.36,4/1/2019,7/6/2022,3/21/2021
136,16.96,8/30/2021,4/24/2022,9/22/2021
12,123.22,9/25/2022,6/16/2019,1/9/2020
990,89.3,3/1/2023,6/2/2023,5/9/2022
189,145.75,2/2/2021,1/26/2020,12/18/2021
442,59.57,9/21/2020,7/3/2022,6/3/2021
578,79.09,10/23/2018,2/4/2023,1/20/2023
167,82.43,4/30/2019,10/2/2019,4/28/2022
669,59.13,2/11/2018,9/24/2022,5/12/2019
5,169.04,9/27/2021,1/7/2018,12/5/2019
368,25.77,5/24/2021,9/6/2023,6/22/2023
789,31.32,3/25/2021,7/27/2021,2/22/2022
680,35.64,11/26/2019,10/15/2023,8/31/2022
121,58.21,11/29/2023,3/6/2018,11/2/2020
725,94.37,2/14/2023,5/2/2018,7/11/2021
357,63.1,2/12/2020,4/22/2018,6/30/2023
810,50.42,4/11/2023,1/22/2018,3/16/2021
632,58.73,7/10/2018,3/18/2018,3/25/2022
867,106.24,7/7/2018,9/12/2018,3/25/2019
394,128.95,12/30/2021,10/28/2021,4/20/2021
789,92.24,4/27/2021,7/4/2021,4/27/2022
37,63.39,11/3/2021,2/26/2021,5/15/2020
127,100.16,9/7/2023,12/17/2021,3/16/2022
983,21.07,10/11/2023,10/21/2023,10/21/2023
447,83.15,2/23/2022,2/23/2019,10/21/2022
886,137.08,2/11/2019,2/6/2023,12/27/2022
235,112.35,10/1/2018,1/5/2023,3/5/2020
362,169.27,9/20/2018,2/3/2020,8/23/2020
753,135.04,7/16/2018,2/1/2023,5/17/2023
389,115.31,7/30/2022,12/31/2022,7/27/2020
902,28.75,12/31/2021,12/19/2020,12/9/2019
102,59.23,6/16/2019,11/3/2018,2/23/2021
285,103.73,7/19/2023,4/26/2021,11/22/2023
492,122.17,3/1/2023,2/9/2022,10/1/2021
983,68.76,5/22/2023,2/25/2021,6/5/2019
643,151.77,9/20/2021,4/1/2021,3/8/2021
235,16.23,10/1/2021,10/7/2018,12/26/2018
774,76.81,11/26/2022,5/24/2023,1/23/2018
882,162.61,12/17/2018,5/22/2022,5/27/2018
173,125.47,11/21/2019,4/3/2020,2/11/2020
597,16.8,11/18/2021,12/25/2018,4/6/2018
690,173.73,11/10/2023,7/10/2018,10/21/2021
405,133.32,1/13/2021,2/4/2022,4/25/2019
48,155.61,1/27/2021,8/9/2022,5/10/2023
214,70.11,5/12/2018,12/29/2023,5/8/2021
919,148.18,1/20/2019,9/6/2021,12/10/2023
872,137.72,6/17/2023,9/12/2018,4/16/2021
401,60.74,12/19/2018,11/10/2019,11/25/2021
790,116.49,12/28/2022,9/18/2022,7/21/2020
390,67.04,8/10/2022,11/6/2019,8/27/2020
56,67.39,4/16/2018,5/8/2018,10/11/2022
57,12.64,2/23/2020,7/21/2021,2/25/2022
800,28.88,5/17/2020,2/27/2022,6/15/2018
939,67.84,10/26/2020,4/25/2021,11/26/2019
923,138.36,1/9/2021,3/12/2019,12/21/2018
24,116.93,8/16/2019,9/22/2021,8/31/2018
107,141.51,12/30/2023,1/31/2023,12/6/2022
296,12.38,9/29/2020,1/14/2019,12/11/2023
29,158.29,11/24/2022,12/17/2021,11/16/2022
855,107.71,1/19/2018,5/11/2020,8/16/2021
871,116.6,10/11/2020,7/13/2021,10/14/2021
353,44.26,9/30/2018,12/7/2018,8/23/2023
723,4.41,10/24/2018,9/18/2023,1/3/2018
710,60.55,7/28/2022,2/21/2018,12/6/2018
33,60.58,2/11/2020,1/2/2018,11/23/2019
486,47.89,6/21/2020,1/21/2018,7/31/2022
138,154.79,5/16/2019,5/24/2020,5/25/2023
24,31.62,10/12/2021,2/20/2019,5/29/2018
47,6.81,10/30/2018,1/22/2023,7/1/2018
856,67.81,9/10/2019,11/17/2021,7/28/2022
666,15.6,9/30/2022,11/11/2019,11/25/2023
707,148.88,2/18/2019,9/24/2022,12/1/2019
